FECHA,O3,NOX,RecreativosTiendas,AbarrotesFarmacias,Parques,EstacionesTransito,Trabajo,Residencial
12/04/20,0.026916667,,-63,-29,-56,-63,-30,14
13/04/20,0.030083333,,-51,-18,-41,-56,-42,18
14/04/20,0.036833333,,-51,-17,-41,-56,-47,19
15/04/20,0.032333333,,-48,-13,-39,-55,-46,19
16/04/20,0.030666667,,-48,-14,-39,-58,-47,20
17/04/20,0.026625,,-50,-13,-40,-58,-43,21
18/04/20,0.0265,,-54,-16,-43,-56,-25,14
19/04/20,0.022583333,,-59,-25,-53,-62,-24,13
20/04/20,0.021833333,,-54,-25,-46,-59,-39,19
21/04/20,0.032666667,,-55,-27,-49,-59,-46,20
22/04/20,0.035041667,,-55,-27,-49,-60,-45,20
23/04/20,0.035583333,,-55,-26,-48,-61,-46,21
24/04/20,0.038666667,0.02475,-55,-23,-47,-62,-41,22
25/04/20,0.035916667,0.030615385,-57,-20,-48,-59,-26,15
26/04/20,0.035125,0.014454545,-61,-29,-57,-65,-25,14
27/04/20,0.037,0.023875,-53,-25,-46,-60,-39,19
28/04/20,0.038545455,0.013,-52,-23,-45,-59,-44,14
29/04/20,0.050541667,0.027076923,-49,-18,-42,-58,-43,19
30/04/20,0.04225,0.021388889,-43,-8,-41,-55,-43,18
01/05/20,0.046083333,0.0178125,-57,-16,-47,-65,-62,26
02/05/20,0.0445,0.016461538,-53,-14,-43,-57,-29,15
03/05/20,0.047125,0.014642857,-58,-24,-53,-61,-22,12
04/05/20,0.043708333,0.032230769,-48,-18,-42,-55,-37,17
05/05/20,0.04425,0.020809524,-49,-20,-43,-55,-44,19
06/05/20,0.041625,0.02225,-48,-19,-42,-54,-42,18
07/05/20,0.040125,0.029210526,-48,-16,-42,-56,-42,19
08/05/20,0.042333333,0.025388889,-48,-12,-40,-55,-38,20
09/05/20,0.047083333,0.0209375,-47,-4,-37,-50,-20,12
10/05/20,0.041708333,0.021538462,-51,-15,-49,-58,-6,7
11/05/20,0.041583333,0.034416667,-49,-20,-42,-55,-35,17
12/05/20,0.03825,0.027,-48,-19,-40,-54,-40,18
13/05/20,0.043125,0.023666667,-47,-18,-41,-54,-40,18
14/05/20,0.046125,0.031428571,-46,-14,-39,-54,-40,18
15/05/20,0.039083333,0.032882353,-44,-6,-36,-53,-36,18
16/05/20,0.04425,0.014294118,-46,-5,-38,-49,-19,12
17/05/20,0.037708333,0.01585,-52,-16,-47,-57,-15,11
18/05/20,0.041125,0.027529412,-43,-13,-38,-52,-31,15
19/05/20,0.036916667,0.0278125,-44,-14,-36,-51,-38,16
20/05/20,0.030291667,0.013588235,-43,-12,-35,-50,-37,17
21/05/20,0.025208333,0.013533333,-44,-12,-34,-51,-38,18
22/05/20,0.029791667,0.00925,-44,-9,-34,-51,-32,17
23/05/20,0.032083333,0.015823529,-46,-6,-34,-48,-15,11
24/05/20,0.040916667,0.013363636,-50,-15,-42,-53,-12,10
25/05/20,0.045625,0.018071429,-43,-13,-35,-49,-31,15
26/05/20,0.04525,0.031928571,-44,-14,-35,-49,-36,16
27/05/20,0.050041667,0.028941176,-43,-14,-34,-49,-35,16
28/05/20,0.0455,0.032857143,-42,-10,-33,-49,-35,16
29/05/20,0.039166667,0.026777778,-41,-4,-32,-49,-31,16
30/05/20,0.036458333,0.019952381,-42,-1,-31,-44,-10,9
31/05/20,0.044125,0.014076923,-46,-8,-39,-50,-4,8
01/06/20,0.049208333,0.0246875,-39,-9,-36,-44,-27,13
02/06/20,0.04675,0.024842105,-39,-9,-33,-41,-33,14
03/06/20,0.039083333,0.028928571,-38,-9,-31,-43,-33,14
04/06/20,0.035291667,0.022888889,-39,-8,-30,-43,-33,15
05/06/20,0.037916667,0.021444444,-39,-3,-32,-45,-29,15
06/06/20,0.049333333,0.019416667,-41,-3,-33,-42,-10,9
07/06/20,0.034333333,0.005769231,-45,-11,-39,-49,-6,9
08/06/20,0.035666667,0.009769231,-39,-10,-34,-44,-26,13
09/06/20,0.0415,0.017421053,-41,-14,-38,-46,-33,15
10/06/20,0.037125,0.024090909,-38,-11,-33,-44,-32,14
11/06/20,0.029166667,0.027347826,-37,-9,-31,-46,-32,15
12/06/20,0.026208333,0.019272727,-36,-3,-30,-44,-28,14
13/06/20,0.039625,0.019857143,-37,0,-28,-40,-7,9
14/06/20,0.047791667,0.013083333,-43,-12,-40,-48,-3,9
15/06/20,0.043375,0.029166667,-34,-6,-34,-41,-25,12
16/06/20,0.044458333,0.0303125,-32,-3,-28,-40,-31,13
17/06/20,0.049291667,0.023533333,-32,-7,-28,-41,-31,13
18/06/20,0.041916667,0.0229375,-33,-7,-29,-41,-32,14
19/06/20,0.040958333,0.026388889,-32,-3,-29,-40,-27,12
20/06/20,0.042291667,0.033333333,-33,3,-26,-36,-7,8
21/06/20,0.045083333,0.014294118,-40,-8,-38,-44,8,5
22/06/20,0.038916667,0.02315,-35,-14,-36,-41,-28,12
23/06/20,0.032666667,0.017555556,-33,-9,-30,-40,-33,13
24/06/20,0.035625,0.025588235,-33,-11,-30,-41,-32,13
25/06/20,0.025875,0.03325,-34,-10,-31,-43,-32,14
26/06/20,0.016333333,0.022391304,-33,-6,-30,-42,-28,14
27/06/20,0.028291667,0.019,-35,-3,-24,-38,-9,8
28/06/20,0.031375,0.010588235,-39,-12,-30,-43,-2,7
29/06/20,0.043541667,0.018666667,-31,-8,-30,-40,-25,11
30/06/20,0.033041667,0.022,-29,-5,-31,-39,-31,12
01/07/20,0.03275,0.020608696,-28,-5,-31,-38,-32,12
02/07/20,0.034625,0.017869565,-28,-4,-28,-39,-32,13
03/07/20,0.0385,0.019956522,-28,-1,-26,-41,-28,12
04/07/20,0.036666667,0.018608696,-32,-1,-24,-39,-9,7
05/07/20,0.039083333,0.010347826,-37,-10,-28,-42,-4,6
06/07/20,0.044041667,0.012521739,-30,-8,-31,-41,-26,11
07/07/20,0.0375,0.020875,-30,-7,-28,-42,-33,12
08/07/20,0.019125,0.01273913,-32,-11,-33,-44,-32,13
09/07/20,0.018541667,0.008173913,-32,-9,-32,-42,-32,13
10/07/20,0.025478261,0.007,-30,-3,-27,-38,-28,12
11/07/20,0.031541667,0.004714286,-35,-4,-27,-35,-9,7
12/07/20,0.022916667,0.009047619,-41,-15,-35,-41,-5,7
13/07/20,0.028958333,0.018608696,-32,-10,-31,-38,-27,11
14/07/20,0.032416667,0.008,-29,-8,-28,-39,-33,11
15/07/20,0.027375,0.025913043,-26,-5,-29,-37,-31,11
16/07/20,0.029375,0.026043478,-27,-4,-28,-39,-32,12
17/07/20,0.043041667,0.015043478,-28,-2,-27,-38,-28,12
18/07/20,0.044458333,0.016304348,-32,-3,-27,-35,-10,7
19/07/20,0.04175,0.012217391,-37,-11,-31,-39,-4,6
20/07/20,0.035291667,0.018695652,-29,-8,-29,-38,-27,11
21/07/20,0.031208333,0.015956522,-29,-9,-27,-39,-33,11
22/07/20,0.02125,0.020956522,-30,-11,-30,-39,-32,12
23/07/20,0.027583333,0.019,-31,-11,-32,-40,-32,13
24/07/20,0.035208333,0.021217391,-30,-6,-30,-38,-28,12
25/07/20,0.037833333,0.017565217,-34,-5,-25,-33,-10,7
26/07/20,0.03175,0.016347826,-37,-11,-28,-39,-5,6
27/07/20,0.024666667,0.013,-30,-10,-29,-37,-27,11
28/07/20,0.02675,0.016782609,-31,-12,-30,-39,-33,12
29/07/20,0.016875,0.024173913,-30,-13,-36,-40,-34,13
30/07/20,0.01725,0.019521739,-26,-7,-30,-36,-33,12
31/07/20,0.022291667,0.021608696,-25,-1,-28,-36,-29,12
01/08/20,0.032875,0.017217391,-28,1,-23,-29,-10,6
02/08/20,0.036208333,0.011565217,-33,-8,-28,-35,-6,6
03/08/20,0.030166667,0.020608696,-25,-7,-29,-34,-27,10
04/08/20,0.034833333,0.015652174,-25,-7,-25,-34,-32,11
05/08/20,0.032416667,0.014913043,-25,-8,-26,-35,-32,12
06/08/20,0.028875,0.020304348,-25,-8,-25,-35,-32,12
07/08/20,0.030041667,0.013,-25,-4,-23,-35,-28,11
08/08/20,0.02525,0.006,-29,-3,-20,-29,-10,6
09/08/20,0.017125,0.0034,-34,-12,-30,-34,-7,6
10/08/20,0.021291667,0.003692308,-26,-11,-30,-32,-26,10
11/08/20,0.018041667,0.025473684,-26,-10,-28,-35,-32,11
12/08/20,0.0255,0.020217391,-25,-10,-27,-34,-32,11
13/08/20,0.020541667,0.023217391,-24,-8,-28,-34,-32,11
14/08/20,0.027541667,0.023130435,-21,0,-23,-32,-27,10
15/08/20,0.034416667,0.024826087,-24,2,-19,-26,-10,5
16/08/20,0.030458333,0.018565217,-29,-6,-24,-31,-5,4
17/08/20,0.022416667,0.023869565,-25,-8,-30,-33,-26,9
18/08/20,0.016666667,0.024695652,-27,-11,-35,-34,-31,11
19/08/20,0.018708333,0.022956522,-24,-9,-29,-35,-31,11
20/08/20,0.030458333,0.015086957,-24,-8,-25,-33,-31,11
21/08/20,0.029708333,0.017913043,-25,-5,-25,-33,-27,10
22/08/20,0.0315,0.010818182,-29,-5,-22,-28,-9,5
23/08/20,0.0345,0.014086957,-33,-11,-26,-32,-4,5
24/08/20,0.029833333,0.018043478,-27,-11,-29,-34,-25,10
25/08/20,0.024875,0.01873913,-26,-11,-28,-35,-31,11
26/08/20,0.020166667,0.017,-26,-11,-29,-35,-30,11
27/08/20,0.013791667,0.021130435,-27,-10,-31,-35,-31,12
28/08/20,0.011041667,0.015086957,-23,-3,-28,-33,-26,10
29/08/20,0.014125,0.00895,-26,-2,-24,-27,-9,5
30/08/20,0.019333333,0.010521739,-32,-9,-27,-32,-5,5
31/08/20,0.019291667,0.017782609,-24,-7,-30,-32,-24,9
01/09/20,0.0195,0.015347826,-23,-6,-27,-32,-31,10
02/09/20,0.031916667,0.016380952,-22,-7,-26,-34,-30,10
03/09/20,0.026666667,0.017090909,-23,-5,-24,-32,-31,10
04/09/20,0.024041667,0.02173913,-22,-2,-24,-32,-26,10
05/09/20,0.022458333,0.016652174,-25,-1,-22,-26,-9,4
06/09/20,0.018,0.01526087,-30,-11,-29,-31,-6,5
07/09/20,0.0175,0.023478261,-27,-9,-31,-32,-26,10
08/09/20,0.025333333,0.018695652,-26,-10,-29,-32,-32,10
09/09/20,0.018041667,0.019826087,-25,-11,-28,-34,-31,10
10/09/20,0.018541667,0.024043478,-26,-10,-30,-33,-31,11
11/09/20,0.02075,0.020782609,-24,-5,-27,-31,-27,10
12/09/20,0.022916667,0.020791667,-26,-3,-23,-24,-9,4
13/09/20,0.022375,0.014347826,-28,-9,-23,-27,-4,4
14/09/20,0.028333333,0.020695652,-23,-5,-26,-29,-23,9
15/09/20,0.025666667,0.021454545,-19,1,-22,-29,-29,7
16/09/20,0.026958333,0.016391304,-33,-16,-31,-47,-63,19
17/09/20,0.02225,0.018347826,-26,-8,-30,-31,-31,11
18/09/20,0.0155,0.015555556,-24,-4,-28,-30,-27,11
